name,median_income,median_rent,rent_burden_pct,White_share,Black_share,Hispanic_share,Asian_share,Other_share
Playa Vista,152658.05066300867,3035.728486273256,18.7884066981696,51.954686599029266,5.808972169262811,15.895920779359123,18.677870096848604,7.662550355500201
Playa del Rey,136281.9770382709,2657.6733581290255,20.895802085850875,66.98040820950683,3.2064597340357266,16.356800828636963,8.455122395239494,5.001208832580971
Porter Ranch,149880.75597865394,3236.2200379908795,29.002896948469303,46.39132629562007,5.092358545745521,14.232639487818457,29.06646388257609,5.217211788239865
Rancho Park,114323.64146030226,2274.3692472753564,31.357057135639202,48.91317541052628,1.9522231136200259,15.787095628528498,24.28676460700542,9.060741240319771
Reseda,77277.2898962375,1832.4988647173727,34.52178286998003,25.08878990135965,4.073693237713449,54.160151344519946,12.906569640489371,3.7707958759175852
San Pedro,99635.11436143938,2049.098914198298,27.724544559742405,36.348051606036115,4.004636551474971,45.219313684691066,8.874743417724968,5.553254740072873
Sawtelle,98312.55682617585,2303.886430347981,23.991256171339405,48.71791943796742,3.9828125829229113,20.188290358684938,20.298295625264643,6.812681995160091
Sepulveda Basin,76792.15134886376,1640.2990307090959,28.97965506634911,55.853290521592385,4.052976862245874,24.79135317874662,9.07618329254121,6.22619614487391
Shadow Hills,124786.9749095336,2752.9474769736826,34.82354043037572,67.6757422293638,1.052054646419544,14.386935136547493,10.470178903473707,6.4150890841954435
Sherman Oaks,111360.36484501646,2299.2881678476547,27.569198607576425,64.25761215435357,5.034982825561147,16.31475700899589,7.204062087788688,7.188585923300707
Silver Lake,110561.69331795021,1879.1334988419771,19.60777796898893,50.73966726775314,2.323889112956325,27.372556462163583,13.303582022202967,6.260305134923982
South Park,51519.07798976195,1414.983529174395,37.6937493591598,1.033015720942776,9.024462977587927,88.478137625079,0.2840596137202118,1.1803240626700813
Studio City,130690.21756545018,2398.6935829482295,26.302441086981382,67.80035282327692,4.610344400334454,13.632449326736005,8.185270727436176,5.771582722216436
Sun Valley,72383.22890577957,1708.3982006404074,34.49871260445211,21.441365285741842,2.098431071862829,67.56703955416847,6.399634812606578,2.4935292756202756
Sunland,99014.96487909266,1801.595686029043,20.365924109599092,59.66978733525874,2.730586390118761,24.454067716348977,10.13977508135038,3.005783476923142
Sylmar,90745.52489772058,1854.1656079613947,32.639007119003885,12.113982112440535,2.212485498820509,77.70440291432651,6.543819638922094,1.425309835490367
Tarzana,124125.67566166545,2215.3867228418057,30.841664118217437,61.43928071278654,4.846362923409946,19.36070611420845,7.867088105031525,6.4865621445635355
Toluca Lake,92304.38431156667,2195.9040108245804,28.127783168939725,58.510322951370995,5.817503154537504,18.43368807457843,10.763883079586124,6.474602739926951
Tujunga,94184.69885078157,2242.433998730231,32.91860332535534,56.352927252309065,1.3855916494978036,21.75838953435671,14.543220909989097,5.959870653847318
University Park,25535.58085931921,1619.4454473902224,36.83916556814892,25.427083551440294,6.18639726293905,39.34090043123438,24.295560908231046,4.750057846155244
Valley Glen,67895.10962891617,1724.57376084468,35.74121723579125,44.50846115917546,4.1419796418189945,41.90720983812752,5.361131254926486,4.081218105951535
Valley Village,87118.74389911396,1972.4610088020697,29.681060667241617,56.115452768409156,8.227874886556933,20.803036773472044,8.183738091923352,6.669897479638507
Van Nuys,62751.368834432076,1684.2973908189529,34.195300905721204,22.133656758185552,4.971807821518121,63.04798108842738,6.951848865718098,2.8947054661508673
Venice,124052.1952424939,2766.7057154605945,25.626992802436796,67.78382954324874,5.218526852305443,13.603310562877175,6.21479047580651,7.179542565762134
Vermont Knolls,44519.20879113462,1383.7683994506324,37.47776787407072,1.2831037139883181,35.0221707039698,61.905243504120236,0.8769102286602354,0.9125718492614112
Vermont Square,60791.69465694607,1422.8526302885248,32.38075785573607,2.1155068565191946,20.774422831271345,72.67030101402251,1.6958770105992962,2.7438922875876557
Vermont Vista,53074.492343568745,1465.9476335206818,37.271062657197106,1.4452559078777103,29.366125453849786,66.83855327125423,0.916961609518403,1.4331037574998646
Vermont-Slauson,58250.992470321726,1452.543304601097,34.52905968630169,1.086345063560647,20.383570842378933,77.0697874900598,0.3348704389172942,1.12542616508334
Watts,51890.710261988184,1353.8695177165016,33.7538976134244,1.5511048135966232,17.627350511030116,78.75272733469372,0.8190465791665219,1.2497707615130196
West Adams,67171.83300726536,1612.6894311574642,27.845343421022257,10.508026023204472,19.584681628510616,63.434229968825704,3.4799656800951304,2.9930966993640737
West Hills,130201.87601610101,3024.7945857625655,36.75382988818995,57.128600934827155,3.636602758430942,16.866447777208073,15.828764081194453,6.539584448339383
West Los Angeles,123156.87406356365,2808.8894519947708,23.11652929073922,63.359067996363926,3.1586759561934845,7.0791172428855855,20.796946225125968,5.606192579431038
Westchester,120070.5281004512,2551.1028883693116,26.049995467661088,35.81318499351809,19.952205127217177,24.069446629416444,12.227151236866453,7.938012012981844
Westlake,49082.79414914565,1404.34681664455,29.793149035519466,7.168169130233628,6.9912831579531405,65.22672674995525,18.52659949526409,2.0872214665938884
Westwood,62870.64379727623,2103.5997495256192,35.89995617069992,50.477080226379016,4.231988701650452,12.512076069337818,25.211113720124942,7.567741282507768
Wilmington,71454.38975030792,1590.5276558320659,30.232094397846225,5.826110447008647,5.116196355725049,75.98585964832121,9.458209373778992,3.613624175166109
Windsor Square,96934.56542925876,2093.7453674569147,33.50734761670555,41.06849148779027,3.934034510851841,17.02430773431462,33.25974060102633,4.713425666016946
Winnetka,80940.08361702907,1997.3578194732906,38.61332403490163,24.300262751962062,3.496130714760954,49.31832065202617,18.164551111216223,4.720734770034582
Woodland Hills,131277.05933817578,2972.7618174234253,31.495414911319294,62.859021528836394,5.975032808382543,13.703100413494326,11.145919067935594,6.31692618135115
